Country,Mozambique
,
Australia                                               ,10
Canada                                                ,17
Dem. Rep. of the Congo  ,1
Germany,19
Ireland,18
Italy,5
Malawi ,5
Netherlands ,5
 Pakistan,2
Rep. of Korea,4
South Africa ,17
Sweden ,3
United Kingdom of Great Britain and Northern Ireland,9
 Zimbabwe ,5
Brazil,7
 China,7
France ,19
 Iceland ,1
 Israel,1
Kenya ,11
Mozambique ,4
Norway,6
Portugal ,5
Somalia ,4
Spain ,5
Switzerland ,10
 United States of America ,6
