Country;Somalia
Albania                                                    ;1
  Algeria                                                   ;15
  Angola                                                    ;21
  Argentina                                                ;21
  Australia                                                 ;21
  Austria                                                   ;21
  Azerbaijan                                                 ;2
  Bangladesh                                                ;20
  Belgium                                                   ;21
  Belize                                                     ;1
  Benin                                                      ;6
  Bosnia and Herzegovina                                     ;3
  Botswana                                                  ;21
  Brazil                                                    ;21
  Bulgaria                                                  ;21
  Burundi                                                   ;21
  Cambodia                                                  ;7
  Canada                                                    ;21
  Chad                                                      ;15
  Chile                                                     ;1
  China                                                     ;21
  China, Hong Kong SAR                                      ;17
  Colombia                                                  ;14
  Costa Rica                                                ;14
  Cote d'Ivoire                                              ;5
  Croatia                                                   ;10
  Cyprus                                                    ;19
  Czechia                                                   ;20
  Dem. Rep. of the Congo                                    ;12
  Denmark                                                   ;21
  Djibouti                                                  ;21
  Ecuador                                                   ;15
  Egypt                                                     ;21
  Eritrea                                                   ;21
  Estonia                                                    ;7
  Eswatini                                                  ;21
  Ethiopia                                                  ;21
  Finland                                                   ;21
  France                                                    ;21
  Gabon                                                     ;16
  Gambia                                                    ;14
  Georgia                                                    ;5
  Germany                                                   ;21
  Ghana                                                     ;14
  Greece                                                    ;21
  Guinea                                                     ;6
  Hungary                                                   ;21
  Iceland                                                   ;11
  India                                                     ;21
  Indonesia                                                 ;21
  Iraq                                                      ;11
  Ireland                                                   ;21
  Israel                                                    ;8
  Italy                                                     ;21
  Japan                                                      ;8
  Jordan                                                    ;21
  Kenya                                                     ;21
  Kuwait                                                    ;21
  Latvia                                                    ;16
  Lebanon                                                   ;21
  Liberia                                                    ;2
  Libya                                                     ;21
  Liechtenstein                                             ;16
  Lithuania                                                 ;21
  Luxembourg                                                ;10
  Madagascar                                                 ;3
  Malawi                                                    ;21
  Malaysia                                                  ;21
  Malta                                                     ;21
  Mauritania                                                ;5
  Mexico                                                    ;15
  Montenegro                                                 ;1
  Morocco                                                   ;19
  Mozambique                                                ;21
  Namibia                                                   ;17
  Nauru                                                      ;7
  Nepal                                                    ;16
  Netherlands                                               ;21
  New Zealand                                               ;21
  Nicaragua                                                 ;10
  Niger                                                     ;21
  Nigeria                                                   ;12
  North Macedonia                                            ;6
  Norway                                                    ;21
  Pakistan                                                  ;21
  Panama                                                    ;14
  Papua New Guinea                                           ;9
  Philippines                                               ;21
  Poland                                                    ;21
  Portugal                                                  ;13
  Qatar                                                     ;19
  Rep. of Korea                                             ;12
  Rep. of Moldova                                            ;1
  Romania                                                   ;21
  Russian Federation                                        ;11
  Rwanda                                                    ;21
  Saudi Arabia                                              ;21
  Senegal                                                   ;18
  Serbia and Kosovo: S/RES/1244 (1999)                      ;11
  Slovakia                                                  ;21
  Slovenia                                                  ;12
  Somalia                                                   ;17
  South Africa                                              ;21
  South Sudan                                               ;7
  Spain                                                     ;21
  Sudan                                                     ;21
  Sweden                                                   ;21
  Switzerland                                               ;21
  Syrian Arab Rep.                                          ;21
  Thailand                                                  ;18
  Togo                                                      ;7
  Trinidad and Tobago                                        ;3
  Tunisia                                                   ;11
  Turkey                                                    ;19
  Uganda                                                    ;21
  Ukraine                                                   ;21
  United Arab Emirates                                      ;21
  United Kingdom of Great Britain and Northern Ireland      ;21
  United Rep. of Tanzania                                   ;21
  United States of America                                  ;21
  Uruguay                                                   ;21
  Venezuela (Bolivarian Republic of)                        ;11
  Yemen                                                     ;21
  Zambia                                                    ;21
  Zimbabwe                                                  ;19
