,year,Country of Origin,Country of Origin (ISO),Country of Asylum,Distance,Country of Asylum (ISO),Refugees under UNHCR�s mandate,Asylum-seekers,IDP�s
,2000,Thailand,THA,Australia,4,AUS,34,97,0
,2000,Thailand,THA,Canada,4,CAN,107,10,0
,2000,Thailand,THA,Denmark,4,DNK,6,0,0
,2000,Thailand,THA,Norway,4,NOR,5,0,0
,2000,Thailand,THA,Sweden,4,SWE,52,0,0
,2000,Thailand,THA,United States of America,4,USA,9,32,0
,2001,Thailand,THA,Australia,4,AUS,31,63,0
,2001,Thailand,THA,Canada,4,CAN,22,7,0
,2001,Thailand,THA,Sweden,4,SWE,37,0,0
,2001,Thailand,THA,United States of America,4,USA,0,86,0
,2002,Thailand,THA,Australia,4,AUS,31,153,0
,2002,Thailand,THA,Canada,4,CAN,19,9,0
,2002,Thailand,THA,Germany,4,DEU,242,0,0
,2002,Thailand,THA,Norway,4,NOR,5,0,0
,2002,Thailand,THA,New Zealand,4,NZL,5,0,0
,2002,Thailand,THA,Sweden,4,SWE,26,5,0
,2002,Thailand,THA,United States of America,4,USA,14,83,0
,2003,Thailand,THA,Australia,4,AUS,11,42,0
,2003,Thailand,THA,Canada,4,CAN,20,15,0
,2003,Thailand,THA,Germany,4,DEU,220,0,0
,2003,Thailand,THA,Norway,4,NOR,5,0,0
,2003,Thailand,THA,New Zealand,4,NZL,5,30,0
,2003,Thailand,THA,Sweden,4,SWE,27,11,0
,2003,Thailand,THA,United States of America,4,USA,7,57,0
,2004,Thailand,THA,Australia,4,AUS,70,5,0
,2004,Thailand,THA,Canada,4,CAN,17,9,0
,2004,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,5,0,0
,2004,Thailand,THA,Germany,4,DEU,194,0,0
,2004,Thailand,THA,Malaysia,2,MYS,0,7,0
,2004,Thailand,THA,Norway,4,NOR,5,0,0
,2004,Thailand,THA,New Zealand,4,NZL,5,5,0
,2004,Thailand,THA,Sweden,4,SWE,17,16,0
,2004,Thailand,THA,United States of America,4,USA,8,48,0
,2005,Thailand,THA,Australia,4,AUS,198,30,0
,2005,Thailand,THA,Canada,4,CAN,22,14,0
,2005,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,5,0,0
,2005,Thailand,THA,Germany,4,DEU,67,5,0
,2005,Thailand,THA,Malaysia,2,MYS,87,115,0
,2005,Thailand,THA,Norway,4,NOR,8,0,0
,2005,Thailand,THA,New Zealand,4,NZL,5,0,0
,2005,Thailand,THA,Sweden,4,SWE,19,6,0
,2005,Thailand,THA,United States of America,4,USA,13,44,0
,2006,Thailand,THA,Australia,4,AUS,231,19,0
,2006,Thailand,THA,Canada,4,CAN,24,10,0
,2006,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,5,0,0
,2006,Thailand,THA,Germany,4,DEU,2868,0,0
,2006,Thailand,THA,Malaysia,2,MYS,122,150,0
,2006,Thailand,THA,Norway,4,NOR,37,0,0
,2006,Thailand,THA,New Zealand,4,NZL,5,0,0
,2006,Thailand,THA,Sweden,4,SWE,18,0,0
,2006,Thailand,THA,United States of America,4,USA,15,22,0
,2007,Thailand,THA,Australia,4,AUS,34,5,0
,2007,Thailand,THA,Austria,4,AUT,0,5,0
,2007,Thailand,THA,Canada,4,CAN,32,142,0
,2007,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,5,0,0
,2007,Thailand,THA,Germany,4,DEU,2051,0,0
,2007,Thailand,THA,Malaysia,2,MYS,134,177,0
,2007,Thailand,THA,Norway,4,NOR,29,0,0
,2007,Thailand,THA,South Africa,4,ZAF,0,17,0
,2007,Thailand,THA,Sweden,4,SWE,20,5,0
,2007,Thailand,THA,United States of America,4,USA,17,12,0
,2008,Thailand,THA,Australia,4,AUS,15,5,0
,2008,Thailand,THA,Canada,4,CAN,34,177,0
,2008,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,8,0,0
,2008,Thailand,THA,Germany,4,DEU,1559,0,0
,2008,Thailand,THA,Indonesia,3,IDN,0,0,0
,2008,Thailand,THA,Malaysia,2,MYS,136,172,0
,2008,Thailand,THA,Norway,4,NOR,30,0,0
,2008,Thailand,THA,South Africa,4,ZAF,0,17,0
,2008,Thailand,THA,Sweden,4,SWE,15,13,0
,2008,Thailand,THA,United States of America,4,USA,14,22,0
,2009,Thailand,THA,Australia,4,AUS,13,5,0
,2009,Thailand,THA,Canada,4,CAN,37,214,0
,2009,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,11,0,0
,2009,Thailand,THA,Germany,4,DEU,235,0,0
,2009,Thailand,THA,Malaysia,2,MYS,140,145,0
,2009,Thailand,THA,Norway,4,NOR,30,0,0
,2009,Thailand,THA,Sweden,4,SWE,17,6,0
,2009,Thailand,THA,United States of America,4,USA,15,22,0
,2010,Thailand,THA,Australia,4,AUS,13,17,0
,2010,Thailand,THA,Canada,4,CAN,37,93,0
,2010,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,17,0,0
,2010,Thailand,THA,Germany,4,DEU,210,0,0
,2010,Thailand,THA,Malaysia,2,MYS,8,102,0
,2010,Thailand,THA,Norway,4,NOR,31,0,0
,2010,Thailand,THA,Sweden,4,SWE,18,5,0
,2010,Thailand,THA,United States of America,4,USA,18,0,0
,2011,Thailand,THA,Australia,4,AUS,15,6,0
,2011,Thailand,THA,Canada,4,CAN,35,37,0
,2011,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,19,5,0
,2011,Thailand,THA,Germany,4,DEU,212,0,0
,2011,Thailand,THA,Indonesia,3,IDN,5,0,0
,2011,Thailand,THA,Japan,3,JPN,0,5,0
,2011,Thailand,THA,Malaysia,2,MYS,9,105,0
,2011,Thailand,THA,Norway,4,NOR,31,0,0
,2011,Thailand,THA,South Africa,4,ZAF,0,12,0
,2011,Thailand,THA,Sweden,4,SWE,17,0,0
,2011,Thailand,THA,United States of America,4,USA,22,5,0
,2012,Thailand,THA,Australia,4,AUS,17,20,0
,2012,Thailand,THA,Canada,4,CAN,35,15,0
,2012,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,25,5,0
,2012,Thailand,THA,Germany,4,DEU,210,0,0
,2012,Thailand,THA,"China, Hong Kong SAR",3,HKG,0,5,0
,2012,Thailand,THA,Indonesia,3,IDN,5,0,0
,2012,Thailand,THA,Japan,3,JPN,0,5,0
,2012,Thailand,THA,Malaysia,2,MYS,14,100,0
,2012,Thailand,THA,Norway,4,NOR,31,5,0
,2012,Thailand,THA,South Africa,4,ZAF,0,12,0
,2012,Thailand,THA,Sweden,4,SWE,14,5,0
,2012,Thailand,THA,United States of America,4,USA,29,0,0
,2013,Thailand,THA,Australia,4,AUS,16,18,0
,2013,Thailand,THA,Canada,4,CAN,38,5,0
,2013,Thailand,THA,Finland,4,FIN,0,5,0
,2013,Thailand,THA,France,4,FRA,0,10,0
,2013,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,26,8,0
,2013,Thailand,THA,Germany,4,DEU,58,0,0
,2013,Thailand,THA,"China, Hong Kong SAR",3,HKG,0,5,0
,2013,Thailand,THA,Japan,3,JPN,0,5,0
,2013,Thailand,THA,Malaysia,2,MYS,8,78,0
,2013,Thailand,THA,Norway,4,NOR,31,0,0
,2013,Thailand,THA,South Africa,4,ZAF,0,13,0
,2013,Thailand,THA,Sweden,4,SWE,13,0,0
,2013,Thailand,THA,United States of America,4,USA,28,26,0
,2014,Thailand,THA,Australia,4,AUS,15,40,0
,2014,Thailand,THA,Cambodia,2,KHM,0,8,0
,2014,Thailand,THA,Canada,4,CAN,36,5,0
,2014,Thailand,THA,France,4,FRA,0,9,0
,2014,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,24,14,0
,2014,Thailand,THA,Germany,4,DEU,67,0,0
,2014,Thailand,THA,"China, Hong Kong SAR",3,HKG,0,5,0
,2014,Thailand,THA,Japan,3,JPN,0,115,0
,2014,Thailand,THA,Rep. of Korea,4,KOR,0,5,0
,2014,Thailand,THA,Malaysia,2,MYS,11,13,0
,2014,Thailand,THA,Norway,4,NOR,31,0,0
,2014,Thailand,THA,South Africa,4,ZAF,0,13,0
,2014,Thailand,THA,Sweden,4,SWE,14,13,0
,2014,Thailand,THA,United States of America,4,USA,27,170,0
,2015,Thailand,THA,Australia,4,AUS,15,124,0
,2015,Thailand,THA,Brazil,4,BRA,0,24,0
,2015,Thailand,THA,Cambodia,2,KHM,0,8,0
,2015,Thailand,THA,Canada,4,CAN,33,9,0
,2015,Thailand,THA,France,4,FRA,5,5,0
,2015,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,25,19,0
,2015,Thailand,THA,Germany,4,DEU,46,5,0
,2015,Thailand,THA,"China, Hong Kong SAR",3,HKG,0,5,0
,2015,Thailand,THA,Japan,3,JPN,0,131,0
,2015,Thailand,THA,Rep. of Korea,4,KOR,0,54,0
,2015,Thailand,THA,Malaysia,2,MYS,17,13,0
,2015,Thailand,THA,Norway,4,NOR,31,0,0
,2015,Thailand,THA,South Africa,4,ZAF,0,31,0
,2015,Thailand,THA,Sweden,4,SWE,12,19,0
,2015,Thailand,THA,United States of America,4,USA,26,386,0
,2016,Thailand,THA,Australia,4,AUS,9,248,0
,2016,Thailand,THA,Brazil,4,BRA,0,23,0
,2016,Thailand,THA,Cambodia,2,KHM,0,8,0
,2016,Thailand,THA,Canada,4,CAN,17,6,0
,2016,Thailand,THA,Denmark,4,DNK,5,0,0
,2016,Thailand,THA,France,4,FRA,6,0,0
,2016,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,25,31,0
,2016,Thailand,THA,Germany,4,DEU,29,5,0
,2016,Thailand,THA,Israel,4,ISR,0,6,0
,2016,Thailand,THA,Japan,3,JPN,0,55,0
,2016,Thailand,THA,Rep. of Korea,4,KOR,0,108,0
,2016,Thailand,THA,Malaysia,2,MYS,18,16,0
,2016,Thailand,THA,New Zealand,4,NZL,0,5,0
,2016,Thailand,THA,South Africa,4,ZAF,0,21,0
,2016,Thailand,THA,Sweden,4,SWE,12,16,0
,2016,Thailand,THA,United States of America,4,USA,27,402,0
,2017,Thailand,THA,Australia,4,AUS,15,413,0
,2017,Thailand,THA,Brazil,4,BRA,0,31,0
,2017,Thailand,THA,Cambodia,2,KHM,0,8,0
,2017,Thailand,THA,Canada,4,CAN,17,8,0
,2017,Thailand,THA,Denmark,4,DNK,5,0,0
,2017,Thailand,THA,France,4,FRA,6,0,0
,2017,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,29,38,0
,2017,Thailand,THA,Germany,4,DEU,26,10,0
,2017,Thailand,THA,Italy,4,ITA,0,8,0
,2017,Thailand,THA,Japan,3,JPN,0,52,0
,2017,Thailand,THA,Rep. of Korea,4,KOR,5,278,0
,2017,Thailand,THA,Malaysia,2,MYS,24,5,0
,2017,Thailand,THA,Sweden,4,SWE,8,17,0
,2017,Thailand,THA,United States of America,4,USA,29,465,0
,2018,Thailand,THA,Australia,4,AUS,16,1741,0
,2018,Thailand,THA,Brazil,4,BRA,0,31,0
,2018,Thailand,THA,Canada,4,CAN,14,7,0
,2018,Thailand,THA,Denmark,4,DNK,5,0,0
,2018,Thailand,THA,France,4,FRA,6,0,0
,2018,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,38,43,0
,2018,Thailand,THA,Germany,4,DEU,25,5,0
,2018,Thailand,THA,India,3,IND,0,5,0
,2018,Thailand,THA,Israel,4,ISR,0,5,0
,2018,Thailand,THA,Italy,4,ITA,0,5,0
,2018,Thailand,THA,Rep. of Korea,4,KOR,9,452,0
,2018,Thailand,THA,Malaysia,2,MYS,28,5,0
,2018,Thailand,THA,Sweden,4,SWE,6,18,0
,2018,Thailand,THA,United States of America,4,USA,36,475,0
,2019,Thailand,THA,Australia,4,AUS,14,2435,0
,2019,Thailand,THA,Brazil,4,BRA,0,40,0
,2019,Thailand,THA,Canada,4,CAN,0,5,0
,2019,Thailand,THA,Denmark,4,DNK,5,0,0
,2019,Thailand,THA,France,4,FRA,8,0,0
,2019,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,4,GBR,41,66,0
