Country,Turkey
Afghanistan                                               ,4
  Albania                                                  ,19
  Algeria                                                  ,2
  Angola                                                   ,2
  Argentina                                                ,21
  Armenia                                                  ,11
  Australia                                                ,21
  Austria                                                  ,21
  Azerbaijan                                               ,5
  Bangladesh                                               ,4
  Belarus                                                  ,4
  Belgium                                                  ,21
  Benin                                                    ,5
  Bosnia and Herzegovina                                   ,7
  Brazil                                                    ,9
  Bulgaria                                                ,21
  Burkina Faso                                              ,3
  Burundi                                                  ,4
  Cameroon                                                 ,4
  Canada                                                   ,21
  Central African Rep.                                    ,4
  Chad                                                      ,2
  Chile                                                    ,6
  China                                                    ,5
  Colombia                                                 ,2
  Congo                                                     ,1
  Costa Rica                                              ,4
  Cote d'Ivoire                                           ,11
  Croatia                                                 ,21
  Cyprus                                                  ,21
  Czechia                                                 ,21
  Denmark                                                 ,21
  Dominican Rep.                                          ,2
  Ecuador                                                  ,7
  Egypt                                                   ,4
  Estonia                                                  ,5
  Finland                                                  ,21
  France                                                   ,21
  Georgia                                                  ,8
  Germany                                                 ,21
  Ghana                                                    ,3
  Greece                                                  ,21
  Guinea-Bissau                                            ,3
  Hungary                                                  ,21
  Iceland                                                  ,3
  India                                                    ,2
  Indonesia                                                ,6
  Iran (Islamic Rep. of)                                   ,1
  Iraq                                                     ,21
  Ireland                                                  ,21
  Israel                                                   ,13
  Italy                                                    ,21
  Japan                                                    ,21
  Jordan                                                   ,9
  Kazakhstan                                               ,1
  Kenya                                                   ,4
  Kyrgyzstan                                              ,4
  Latvia                                                  ,6
  Lebanon                                                  ,20
  Liberia                                                   ,3
  Lithuania                                               ,6
  Luxembourg                                               ,9
  Madagascar                                              ,4
  Malawi                                                 ,3
  Malaysia                                                 ,2
  Mali                                                    ,3
  Malta                                                   ,19
  Mauritania                                              ,4
  Mexico                                                ,11
  Montenegro                                            ,2
  Morocco                                                 ,10
  Netherlands                                           ,21
  New Zealand                                              ,21
  Nigeria                                                ,4
  North Macedonia                                           ,3
  Norway                                                   ,21
  Pakistan                                                 ,21
  Paraguay                                                  ,5
  Peru                                                     ,5
  Philippines                                              ,7
  Poland                                                   ,21
  Portugal                                                 ,10
  Rep. of Korea                                             ,8
  Rep. of Moldova                                         ,13
  Romania                                                  ,21
  Russian Federation                                        ,6
  Senegal                                                   ,4
  Serbia and Kosovo: S/RES/1244 (1999)                     ,11
  Slovakia                                                 ,12
  Slovenia                                                 ,14
  South Africa                                              ,8
  Spain                                                    ,21
  Sweden                                                   ,21
  Switzerland                                              ,21
  Syrian Arab Rep.                                         ,20
  Thailand                                                  ,2
  Togo                                                      ,4
  Tunisia                                                  ,6
  Uganda                                                    ,3
  Ukraine                                                  ,18
  United Kingdom of Great Britain and Northern Ireland     ,21
  United Rep. of Tanzania                                   ,2
  United States of America                                 ,21
  Uruguay                                                   ,6
  Venezuela (Bolivarian Republic of)                       ,13
  Zambia                                                    ,4
